x, y
8.30E-07,0.882174
8.36E-07,0.894311927
8.44E-07,0.90959633
8.55E-07,0.922697248
8.65E-07,0.931431193
8.75E-07,0.942348624
8.85E-07,0.951082569
8.94E-07,0.962
9.07E-07,0.972917431
9.17E-07,0.983834862
9.27E-07,0.990385321
9.38E-07,0.999119266
9.50E-07,1.001302752
